gamma,n_neurons,mean_quad_perturbation_approximation_error,perturbation_approximation_std_deviation,perturbation_approximation_correlation_coefficient
0.025,10,54.236068137362345,2.0780550467386907,0.7993819099240461
0.05,10,10.130297091859571,0.460363990211593,0.9906349585202979
0.07500000000000001,10,0.675376473187177,0.39798659903839295,0.9931569376301695
0.1,10,2.915613309053658,0.374329103661461,0.9944759290853292
0.125,10,0.27912067876168123,0.24668818552383498,0.9973120303489311
0.15,10,0.15874399902921732,0.24335417317654007,0.9973581951263094
0.17500000000000002,10,0.9364968154612509,0.29360960464548913,0.9961247128740705
0.2,10,0.14669061336105005,0.25106981934444556,0.9971549974929682
0.225,10,0.6789383293233527,0.2412517452169746,0.9973723900723205
0.25,10,1.3197412434705948,0.22995234010592827,0.9976359641786124
0.275,10,0.06291389063375864,0.2304533759916903,0.9978486659969217
0.30000000000000004,10,2.0462305185675627,0.22164462602235468,0.9980358757735881
0.32500000000000007,10,0.19468475748296668,0.20582147875432938,0.9982437507287001
0.35000000000000003,10,0.08002197098510208,0.18693712206817908,0.9984827447824672
0.37500000000000006,10,0.3830161974849558,0.24281562893750727,0.9974724724339978
0.4,10,0.22421129793919536,0.15917374245278326,0.9988720012982888
0.42500000000000004,10,0.5525109155342569,0.21021395533550455,0.9980252941507562
0.45000000000000007,10,0.21136557976194134,0.2261030753682827,0.9976931999315153
0.47500000000000003,10,0.3002282557016473,0.18194310823261442,0.9985055268383644
0.5,10,0.11406270951009272,0.2426129062382377,0.9973824881799593
0.525,10,0.09506764451278123,0.2520456446444437,0.9971351363612156
0.55,10,0.13977378158464607,0.2805956002546266,0.9964452980967009
0.5750000000000001,10,0.23337038152250125,0.29168179409315953,0.9961550173614991
0.6000000000000001,10,0.08052666911114302,0.24032586663829295,0.9973923020697595
0.6250000000000001,10,0.10300870796878642,0.31249677012821275,0.996137251538057
0.65,10,0.08014841798006367,0.23896238795201574,0.9974584228295382
0.675,10,0.27038474161753934,0.326639577623911,0.9952110966864919
0.7000000000000001,10,0.10157398971166892,0.2945916485531445,0.9960816644023736
0.7250000000000001,10,1.495804272609624,0.5166471746938524,0.9892312923394727
0.7500000000000001,10,0.24484037861694888,0.25394115579901716,0.9970967945126074
0.775,10,0.2102998239533317,0.36697571752593156,0.9941584870952317
0.8,10,0.09181945192089899,0.3030069052010473,0.99634527022355
